request_id,success,status_code,error,latency_ms,first_frame_latency_ms,response_bytes,start_time,end_time,relative_end_second,body_template_index,body_template_label,debug_info
51,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",563.7567001394928,563.7567001394928,63,2026-06-25 21:25:03.401,2026-06-25 21:25:03.965,5,7,Body #7,
46,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",669.3019000813365,669.3019000813365,63,2026-06-25 21:25:03.312,2026-06-25 21:25:03.981,5,2,Body #2,
52,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",665.180099895224,665.180099895224,63,2026-06-25 21:25:03.449,2026-06-25 21:25:04.115,5,8,Body #8,
53,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",462.71850005723536,462.71850005723536,63,2026-06-25 21:25:03.693,2026-06-25 21:25:04.156,5,9,Body #9,
54,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",525.1249999273568,525.1249999273568,63,2026-06-25 21:25:03.715,2026-06-25 21:25:04.240,5,10,Body #10,
55,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",505.31430006958544,505.31430006958544,63,2026-06-25 21:25:03.738,2026-06-25 21:25:04.244,5,11,Body #11,
56,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",485.573299927637,485.573299927637,63,2026-06-25 21:25:03.782,2026-06-25 21:25:04.268,5,1,Body #1,
58,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",467.0444999355823,467.0444999355823,63,2026-06-25 21:25:03.840,2026-06-25 21:25:04.307,5,3,Body #3,
59,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",522.5723998155445,522.5723998155445,63,2026-06-25 21:25:03.883,2026-06-25 21:25:04.406,5,4,Body #4,
57,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",646.7005999293178,646.7005999293178,63,2026-06-25 21:25:03.831,2026-06-25 21:25:04.477,5,2,Body #2,
61,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",526.3422999996692,526.3422999996692,63,2026-06-25 21:25:03.965,2026-06-25 21:25:04.492,5,6,Body #6,
62,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",555.0525998696685,555.0525998696685,63,2026-06-25 21:25:03.981,2026-06-25 21:25:04.536,5,7,Body #7,
60,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",579.595600022003,579.595600022003,63,2026-06-25 21:25:03.962,2026-06-25 21:25:04.542,5,5,Body #5,
64,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",517.7108000498265,517.7108000498265,63,2026-06-25 21:25:04.156,2026-06-25 21:25:04.674,6,9,Body #9,
65,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",458.1154000479728,458.1154000479728,63,2026-06-25 21:25:04.241,2026-06-25 21:25:04.699,6,10,Body #10,
63,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",660.8816001098603,660.8816001098603,63,2026-06-25 21:25:04.115,2026-06-25 21:25:04.775,6,8,Body #8,
66,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",538.180299801752,538.180299801752,63,2026-06-25 21:25:04.244,2026-06-25 21:25:04.782,6,11,Body #11,
